Unnamed: 0,Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Home Team Initials,Away Team Initials,Date,month,year,time,Home_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Scored,Home_Team_Win_Rate,Away_Team_Win_Rate,Head_to_Head_Wins,Is_Home_Advantage,Result
0,1930.0,Group 1,Pocitos,Montevideo ,France,,1.0,Mexico,4444.0,FRA,MEX,13.0,7.0,1930.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
1,1930.0,Group 4,Parque Central,Montevideo ,USA,3.0,0.0,Belgium,18346.0,USA,BEL,13.0,7.0,1930.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
2,1930.0,Group 2,Parque Central,Montevideo ,Yugoslavia,2.0,1.0,Brazil,24059.0,YUG,BRA,14.0,7.0,1930.0,12:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
3,1930.0,Group 3,Pocitos,Montevideo ,Romania,3.0,1.0,Peru,2549.0,ROU,PER,14.0,7.0,1930.0,14:50:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
4,1930.0,Group 1,Parque Central,Montevideo ,Argentina,1.0,0.0,France,23409.0,ARG,FRA,15.0,7.0,1930.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
5,1930.0,Group 1,Parque Central,Montevideo ,Chile,3.0,0.0,Mexico,9249.0,CHI,MEX,16.0,7.0,1930.0,14:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
6,1930.0,Group 2,Parque Central,Montevideo ,Yugoslavia,,0.0,Bolivia,18306.0,YUG,BOL,17.0,7.0,1930.0,12:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
7,1930.0,Group 4,Parque Central,Montevideo ,USA,3.0,0.0,Paraguay,18306.0,USA,PAR,17.0,7.0,1930.0,14:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
8,1930.0,Group 3,Estadio Centenario,Montevideo ,Uruguay,1.0,0.0,Peru,57735.0,URU,PER,18.0,7.0,1930.0,14:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
9,1930.0,Group 1,Estadio Centenario,Montevideo ,Chile,1.0,0.0,France,2000.0,CHI,FRA,19.0,7.0,1930.0,12:50:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
