,Unnamed: 0,Year,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Attendance,Home Team Initials,Away Team Initials,Date,month,year,time,Home_Team_Avg_Goals_Scored,Away_Team_Avg_Goals_Scored,Home_Team_Win_Rate,Away_Team_Win_Rate,Head_to_Head_Wins,Is_Home_Advantage,Result
785,785,2014.0,Group G,Estadio das Dunas,Natal ,Ghana,1.0,2.0,USA,39760.0,GHA,USA,16.0,6.0,2014.0,19:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
101,101,1958.0,Group 3,Rasunda Stadium,Solna ,Sweden,3.0,0.0,Mexico,34107.0,SWE,MEX,8.0,6.0,1958.0,14:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
787,787,2014.0,Group A,Estadio Castelao,Fortaleza ,Brazil,0.0,0.0,Mexico,60342.0,BRA,MEX,17.0,6.0,2014.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
530,530,1998.0,Group G,Stade de Gerland,Lyon ,Romania,1.0,0.0,Colombia,39100.0,ROU,COL,15.0,6.0,1998.0,17:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
430,430,1990.0,Group C,Stadio delle Alpi,Turin ,Brazil,1.0,0.0,Costa Rica,58007.0,BRA,CRC,16.0,6.0,1990.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
444,444,1990.0,Group E,Friuli,Udine ,Korea Republic,0.0,1.0,Uruguay,29039.0,KOR,URU,21.0,6.0,1990.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
2,2,1930.0,Group 2,Parque Central,Montevideo ,Yugoslavia,2.0,1.0,Brazil,24059.0,YUG,BRA,14.0,7.0,1930.0,12:45:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
192,192,1966.0,Quarter-finals,Wembley Stadium,London ,England,1.0,0.0,Argentina,90584.0,ENG,ARG,23.0,7.0,1966.0,15:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
462,462,1990.0,Match for third place,Stadio San Nicola,Bari ,Italy,2.0,1.0,England,51426.0,ITA,ENG,7.0,7.0,1990.0,20:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
497,497,1994.0,Group F,RFK Stadium,Washington Dc ,Belgium,0.0,1.0,Saudi Arabia,52959.0,BEL,KSA,29.0,6.0,1994.0,12:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
433,433,1990.0,Group F,Della Favorita,Palermo ,"rn"">Republic of Ireland",0.0,0.0,Egypt,33288.0,IRL,EGY,17.0,6.0,1990.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
760,760,2010.0,Round of 16,Durban Stadium,Durban ,Netherlands,2.0,1.0,Slovakia,61962.0,NED,SVK,28.0,6.0,2010.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
485,485,1994.0,Group F,Giants Stadium,New York/New Jersey ,Saudi Arabia,2.0,1.0,Morocco,76322.0,KSA,MAR,25.0,6.0,1994.0,12:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
794,794,2014.0,Group C,Estadio das Dunas,Natal ,Japan,0.0,0.0,Greece,39485.0,JPN,GRE,19.0,6.0,2014.0,19:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
544,544,1998.0,Group H,Parc des Princes,Paris ,Argentina,,0.0,Jamaica,45500.0,ARG,JAM,21.0,6.0,1998.0,17:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Draw
331,331,1982.0,Group 5,La Romareda,Zaragoza ,Honduras,1.0,1.0,Northern Ireland,15000.0,HON,NIR,21.0,6.0,1982.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
501,501,1994.0,Round of 16,RFK Stadium,Washington Dc ,Spain,3.0,0.0,Switzerland,53121.0,ESP,SUI,2.0,7.0,1994.0,16:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
569,569,1998.0,Round of 16,Stade Municipal,Toulouse ,Netherlands,2.0,1.0,Yugoslavia,33500.0,NED,YUG,29.0,6.0,1998.0,21:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
493,493,1994.0,Group B,Pontiac Silverdome,Detroit ,Brazil,1.0,1.0,Sweden,77217.0,BRA,SWE,28.0,6.0,1994.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Draw,0,Draw
450,450,1990.0,Round of 16,Stadio delle Alpi,Turin ,Brazil,0.0,1.0,Argentina,61381.0,BRA,ARG,24.0,6.0,1990.0,17:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Away Win,0,Away Win
368,368,1986.0,Group F,Tecnologico,Monterrey ,Portugal,1.0,0.0,England,23000.0,POR,ENG,3.0,6.0,1986.0,16:00:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
603,603,2002.0,Group B,Daegu World Cup Stadium,Daegu ,South Africa,1.0,0.0,Slovenia,47226.0,RSA,SVN,8.0,6.0,2002.0,15:30:00,1.8110328638497653,1.022300469483568,0.5727699530516432,0.204225352112676,Home Win,1,Home Win
